  N   , fold ,   FillX    ,  a   ,   RDSUM   ,   RSSUM   
16384 , 3    , rand       , 1000 , 1.270e-05 , 7.582e-06 
16384 , 3    , full_range , 1000 , 1.262e-05 , 1.614e-05 

 N   , fold , FillX  ,   DSUM    ,   RDSUM   
64   , 3    , normal , 6.154e-09 , 4.308e-08 
128  , 3    , normal , 1.231e-08 , 8.615e-08 
256  , 3    , normal , 2.462e-08 , 1.723e-07 
512  , 3    , normal , 4.923e-08 , 3.446e-07 
1024 , 3    , normal , 9.846e-08 , 6.892e-07 
2048 , 3    , normal , 1.969e-07 , 1.378e-06 
4096 , 3    , normal , 3.938e-07 , 2.757e-06 

 N   , fold , FillX  ,   DSUM    ,   RDSUM   
64   , 3    , normal , 4.029e-08 , 1.875e-07 
128  , 3    , normal , 1.270e-07 , 2.339e-07 
256  , 3    , normal , 2.234e-07 , 3.903e-07 
512  , 3    , normal , 4.266e-07 , 5.124e-07 
1024 , 3    , normal , 8.602e-07 , 8.774e-07 
2048 , 3    , normal , 1.749e-06 , 1.641e-06 
4096 , 3    , normal , 3.474e-06 , 3.246e-06 

 N   , fold , FillX  , FillY  ,   DDOT    ,   RDDOT   
64   , 3    , normal , normal , 6.154e-09 , 4.308e-08 
128  , 3    , normal , normal , 1.231e-08 , 8.615e-08 
256  , 3    , normal , normal , 2.462e-08 , 1.723e-07 
512  , 3    , normal , normal , 4.923e-08 , 3.446e-07 
1024 , 3    , normal , normal , 9.846e-08 , 6.892e-07 
2048 , 3    , normal , normal , 1.969e-07 , 1.378e-06 
4096 , 3    , normal , normal , 3.938e-07 , 2.757e-06 

 N   , fold , FillX  , FillY  ,   DDOT    ,   RDDOT   
64   , 3    , normal , normal , 2.523e-08 , 2.156e-07 
128  , 3    , normal , normal , 3.596e-08 , 2.649e-07 
256  , 3    , normal , normal , 6.793e-08 , 3.599e-07 
512  , 3    , normal , normal , 1.020e-07 , 6.246e-07 
1024 , 3    , normal , normal , 1.834e-07 , 9.413e-07 
2048 , 3    , normal , normal , 3.881e-07 , 1.776e-06 
4096 , 3    , normal , normal , 1.087e-06 , 3.440e-06 

 ('N', 'M')  , TransA  , fold , FillA  ,  FillX   ,  FillY   , a ,   DGEMV   ,  RDGEMV   
(64, 64)     , NoTrans , 3    , normal , constant , constant , 0 , 3.938e-07 , 2.757e-06 
(128, 128)   , NoTrans , 3    , normal , constant , constant , 0 , 1.575e-06 , 1.103e-05 
(256, 256)   , NoTrans , 3    , normal , constant , constant , 0 , 6.302e-06 , 4.411e-05 
(512, 512)   , NoTrans , 3    , normal , constant , constant , 0 , 2.521e-05 , 1.764e-04 
(1024, 1024) , NoTrans , 3    , normal , constant , constant , 0 , 1.008e-04 , 7.058e-04 
(2048, 2048) , NoTrans , 3    , normal , constant , constant , 0 , 4.033e-04 , 2.823e-03 
(4096, 4096) , NoTrans , 3    , normal , constant , constant , 0 , 1.613e-03 , 1.129e-02 

 ('N', 'M')  , TransA  , fold , FillA  ,  FillX   ,  FillY   ,  a  ,   DGEMV   ,  RDGEMV   
(64, 64)     , NoTrans , 3    , normal , constant , constant , 100 , 1.397e-06 , 1.757e-05 
(128, 128)   , NoTrans , 3    , normal , constant , constant , 100 , 3.057e-06 , 5.593e-05 
(256, 256)   , NoTrans , 3    , normal , constant , constant , 100 , 1.538e-05 , 1.501e-04 
(512, 512)   , NoTrans , 3    , normal , constant , constant , 100 , 6.122e-05 , 5.708e-04 
(1024, 1024) , NoTrans , 3    , normal , constant , constant , 100 , 3.809e-04 , 2.633e-03 
(2048, 2048) , NoTrans , 3    , normal , constant , constant , 100 , 2.163e-03 , 1.188e-02 
(4096, 4096) , NoTrans , 3    , normal , constant , constant , 100 , 8.864e-03 , 5.052e-02 

 ('N', 'M')  , TransA , fold , FillA  ,  FillB   ,  FillC   , a ,   DGEMV   ,  RDGEMV   
(64, 64)     , Trans  , 3    , normal , constant , constant , 0 , 3.938e-07 , 2.757e-06 
(128, 128)   , Trans  , 3    , normal , constant , constant , 0 , 1.575e-06 , 1.103e-05 
(256, 256)   , Trans  , 3    , normal , constant , constant , 0 , 6.302e-06 , 4.411e-05 
(512, 512)   , Trans  , 3    , normal , constant , constant , 0 , 2.521e-05 , 1.764e-04 
(1024, 1024) , Trans  , 3    , normal , constant , constant , 0 , 1.008e-04 , 7.058e-04 
(2048, 2048) , Trans  , 3    , normal , constant , constant , 0 , 4.033e-04 , 2.823e-03 
(4096, 4096) , Trans  , 3    , normal , constant , constant , 0 , 1.613e-03 , 1.129e-02 

 ('N', 'M')  , TransA , fold , FillA  ,  FillB   ,  FillC   ,  a  ,   DGEMV   ,  RDGEMV   
(64, 64)     , Trans  , 3    , normal , constant , constant , 100 , 1.421e-06 , 1.312e-05 
(128, 128)   , Trans  , 3    , normal , constant , constant , 100 , 3.352e-06 , 4.390e-05 
(256, 256)   , Trans  , 3    , normal , constant , constant , 100 , 1.600e-05 , 9.411e-05 
(512, 512)   , Trans  , 3    , normal , constant , constant , 100 , 6.444e-05 , 3.208e-04 
(1024, 1024) , Trans  , 3    , normal , constant , constant , 100 , 4.036e-04 , 1.205e-03 
(2048, 2048) , Trans  , 3    , normal , constant , constant , 100 , 2.131e-03 , 4.659e-03 
(4096, 4096) , Trans  , 3    , normal , constant , constant , 100 , 8.615e-03 , 1.894e-02 

 ('N', 'M', 'K')   ,  ('TransA', 'TransB')  , fold , FillA  , a ,   DGEMM   ,  RDGEMM   
(64, 64, 64)       , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 2.521e-05 , 1.764e-04 
(128, 128, 128)    , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 2.016e-04 , 1.412e-03 
(256, 256, 256)    , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 1.613e-03 , 1.129e-02 
(512, 512, 512)    , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 1.291e-02 , 9.034e-02 
(1024, 1024, 1024) , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 1.032e-01 , 7.227e-01 
(2048, 2048, 2048) , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 8.260e-01 , 5.782e+00 
(4096, 4096, 4096) , ('NoTrans', 'NoTrans') , 3    , normal , 0 , 6.608e+00 , 4.625e+01 

 ('N', 'M', 'K')   ,  ('TransA', 'TransB')  , fold , FillA  ,  a  ,   DGEMM   ,  RDGEMM   
(64, 64, 64)       , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 8.398e-05 , 8.408e-04 
(128, 128, 128)    , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 1.690e-04 , 4.069e-03 
(256, 256, 256)    , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 1.275e-03 , 2.294e-02 
(512, 512, 512)    , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 1.062e-02 , 1.467e-01 
(1024, 1024, 1024) , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 8.282e-02 , 1.031e+00 
(2048, 2048, 2048) , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 6.563e-01 , 8.153e+00 
(4096, 4096, 4096) , ('NoTrans', 'NoTrans') , 3    , normal , 100 , 5.261e+00 , 6.349e+01 

